delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,middle_gamma,classification
207025,6685,1401,1214,1401,793,524,60508,1
175869,32531,4668,18414,4668,9232,3770,706856,1
9599,15831,7212,2874,7212,6950,3702,671944,1
315182,72768,28264,2408,28264,6537,2743,1863,0
725523,484140,82479,25894,87883,129722,17689,1704972,0
129168,254688,167622,16665,167622,75054,3078,694044,0
65180,72635,15981,4543,15981,9080,4491,603589,1
155250,44705,68930,18211,68930,6704,3538,3379,0
131133,18259,14917,13849,14917,18567,8836,24303,1
202231,178353,3537,22780,3537,12624,5458,696999,1
484863,149147,7690,28509,7690,21992,7245,537654,1
1037851,74089,4267,17965,5296,2285,2808,199013,0
141184,140835,12347,8324,12347,25580,13218,110311,0
18498,31733,16565,27963,16565,35133,14886,12274,1
525154,130421,4130,29284,4130,24040,24497,641968,1
1586283,31679,14522,12583,14522,5939,2672,2164,1
85246,38296,13459,25605,13459,19800,12691,41187,1
181098,12589,4649,2167,4649,1615,1977,789,0
141161,17640,13290,5005,13290,2901,1037,78861,0
65720,252371,16228,10634,16228,21483,7272,546418,1
535109,141863,45952,25786,9074,7114,3434,334960,0
16665,10468,17468,10517,17468,18416,1240,41881,1
2051971,235473,29092,97046,29092,14701,3347,3406,0
1177425,235686,53053,44511,53053,48994,2609,728024,1
160302,53301,6969,5459,6969,5032,1988,4113,1
536630,174520,35150,9828,35150,10043,8317,3596,0
75973,164621,5242,61101,2524,50688,838,284107,0
1811880,797305,61546,227697,3169,183094,6842,1135835,0
7165,15065,4305,19306,4305,16823,686,73893,1
97247,159529,46456,90362,46456,38757,14032,128114,0
11163,14008,6311,2559,6311,10259,5365,28210,1
126395,21369,7669,84207,7669,3627,2016,1408,1
63015,47202,10992,7763,10992,4807,1782,61312,1
14721,34720,21102,17160,21102,16520,4749,93035,0
1326239,465070,61455,46485,61455,37585,2698,690983,0
52881,17400,15793,3968,2779,3388,731,57846,0
24589,14457,5079,98056,5079,2849,1834,2566,1
63030,49325,20844,13202,20844,13426,8488,65856,0
405667,31750,6663,4220,6663,5883,2730,69831,1
254922,57089,5298,6116,5298,1958,731,58792,1
23443,11079,12189,5184,12189,9944,3271,170304,1
308644,438974,18718,16810,18718,18886,4940,143839,0
2071782,280057,48126,49683,55730,26749,58157,300537,0
264875,44426,33720,42656,33720,8962,3584,2005,0
154133,391927,60133,3952,12365,26116,6041,377842,0
15445,11382,7840,52594,7840,6047,1611,1801,1
2600,13980,17874,18596,9605,38945,3125,161259,0
208676,15469,10787,21900,10787,3619,1486,4303,1
324123,99439,136669,12351,5896,47605,1476,741190,0
627099,110037,6952,26380,6952,11345,6608,939,0
571527,39516,8504,23252,8504,9024,4177,630585,1
517338,49635,14065,41598,14065,6770,4145,6252,1
1085563,3203,3333,1412,3333,2326,5619,33137,0
152974,139594,13381,10632,13381,3329,4643,1075,1
58800,9641,228,5267,228,1304,668,153188,1
502336,653335,1624,2720,1624,9077,4032,631601,1
883960,450765,10526,10343,10021,5657,5625,155881,0
84726,49114,8302,5389,8302,3907,1622,58831,1
98912,14047,5065,22374,5065,5579,3123,1608,1
759789,211137,12790,19750,12790,18522,4695,3510,0
261873,54158,10672,2951,10672,4910,922,109460,0
35197,32558,10635,16335,10635,8828,2671,15765,1
1388737,140076,61740,6174,42976,11485,6906,256470,0
65720,252371,16228,10634,16228,21483,7272,546418,1
554562,212670,240487,23513,240487,17756,2370,452888,0
224706,79446,54969,30513,54969,8850,2988,1578,0
5191,14367,13692,16314,13692,5823,7196,17916,1
85875,25116,8690,25156,8690,4731,2954,2227,1
1863582,154622,34601,21994,34601,42125,23258,23785,1
152974,139594,13381,10632,13381,3329,4643,1075,1
13219,24349,12660,9048,11263,14846,4995,456792,0
3302469,841382,72110,25301,72110,23963,13573,643910,1
517338,49635,14065,41598,14065,6770,4145,6252,1
6223,15976,42720,15008,42720,15052,10530,45087,1
783311,168088,6144,15428,6144,7261,874,218521,1
933360,221509,114432,12664,114432,40018,7136,442270,0
15138,31963,6978,6521,6978,4542,2377,3355,1
451552,196647,97682,13480,28354,7366,5608,456598,0
108771,14202,9698,6461,5765,3034,1082,131586,0
291155,12202,35061,35628,35061,26188,12732,40852,1
343828,57886,3052,23002,3052,2731,3888,67955,0
161613,3073,8462,7540,8462,9437,4746,2821,0
92761,63945,17167,8965,17167,10671,4599,3014,1
453497,125640,31508,18069,31508,4695,4609,601350,1
2323552,40621,30078,12393,30078,5540,2841,178962,0
42486,61121,670,3669,670,3228,2724,44713,1
994654,27803,1898,11188,1898,7921,5210,5570,0
795846,87466,30113,24623,30113,7073,6205,762262,1
171238,108588,48871,101225,48871,36248,12650,99941,0
1130914,185206,23500,42365,23500,9231,20834,8391,0
1752843,111865,38622,25281,11940,2952,1459,195756,0
979218,75150,10181,11285,10181,5511,1436,695,0
51521,19432,6487,16942,6487,5928,2298,1868,1
338888,206228,32349,24781,32349,14874,3673,523366,1
574097,499907,26299,48050,31670,7404,15330,286562,0
488632,225339,11588,22099,9307,3036,1487,95149,0
437918,139140,12147,7968,12147,9754,3951,695293,1
453638,61289,5323,3313,5323,2774,1775,1610,0
1364915,145565,69996,91408,69996,54465,16639,521964,1
2896419,220688,51792,70929,51792,17796,16495,8832,0
697687,52861,76029,8131,7521,11312,5012,428556,0
299162,94849,34800,20815,34800,9481,4647,119120,0
781171,296931,46890,6393,46890,5225,2368,1412,0
676235,85721,2120,18684,2120,3760,6378,56367,0
1047755,41582,6613,3297,6613,2299,1285,9269,0
1158882,63746,11588,11488,11588,14623,3907,2851,1
274909,9357,6751,3822,6751,1292,951,50520,1
906006,41027,20614,12214,20614,3956,3884,148506,1
14910,2476,14646,4539,14646,7468,15748,80211,1
661275,274263,298452,21562,25116,31734,4265,650270,0
6223,15976,42720,15008,42720,15052,10530,45087,1
37132,25635,6391,9503,6391,7526,8241,606092,1
781162,15172,10167,22665,10167,3152,2374,2512,0
871218,102103,41020,4611,41020,39417,10691,613335,1
205970,144495,19864,51506,19864,13939,10580,580827,1
15404,19195,6800,5977,6800,11010,9182,17939,1
1079012,211773,71868,27308,15855,25740,2288,389570,0
9245,24395,7759,8717,7759,9968,18547,4183,0
223692,64902,1850,2335,1850,1245,753,930,1
210140,500092,231676,59191,231676,37696,15220,8107,0
2251281,393513,154654,197152,154654,162837,27223,20296,0
3548,88775,61008,7382,61008,16829,7647,154498,1
432072,79718,25523,4367,25523,23883,9786,37429,1
772712,147401,15138,6856,15138,11368,6722,6962,1
95634,56972,4391,5309,4391,2353,528,287,1
11442,24483,97210,7323,97210,26085,10108,47152,1
6767,32052,8250,12777,8250,20540,6418,59742,1
4865,4798,15496,14057,15496,34069,6114,95149,1
3076,8646,8200,13005,14206,3212,6175,370582,0
1083975,195585,116747,64470,116747,53847,4772,762514,0
1699037,43955,58886,23496,23932,23367,22761,476598,0
227848,15577,9202,2842,9202,3074,602,63603,1
56341,32448,1974,7174,1974,6171,6265,9383,1
26246,145616,3744,40988,480,33434,762,156545,0
407878,131611,16146,46711,16146,6648,10210,646044,1
193026,25268,10782,9743,10782,4000,1659,634870,1
247937,129474,7550,1918,7550,3003,1585,191615,1
258353,1358,1348,1143,1348,421,309,137,1
12618,7702,29611,6936,29611,4754,4545,47325,1
1063827,510178,21217,244642,7283,408074,7847,1565297,0
5191,14367,13692,16314,13692,5823,7196,17916,1
181443,47679,6559,13194,6559,12708,2012,36229,1
278745,324834,58332,11308,5022,74178,3298,494174,0
1495282,86221,20115,21647,15725,9048,5106,240287,0
927176,178712,32350,64657,32350,34072,6447,456253,0
50656,47073,4816,4157,2380,3700,3884,17632,0
1438171,127480,34127,19436,34127,15252,4255,3879,1
103122,11645,791,1672,3290,852,828,86805,0
639292,212470,24707,12115,6354,4261,6758,456555,0
92762,9383,8246,24594,8246,5343,2649,4946,1
213303,18772,8052,8082,8052,1767,1661,61228,0
653863,431430,26601,60339,26601,25706,1562,121440,0
362635,26592,9129,44139,17299,7560,2631,67736,0
81243,17006,4983,11361,4983,7076,9118,681826,1
66035,37767,3715,1856,3715,1446,655,55616,1
223692,64902,1850,2335,1850,1245,753,930,1
5191,14367,13692,16314,13692,5823,7196,17916,1
473338,97857,2601,9653,2601,11945,5027,134044,1
116500,69909,8070,12390,3212,8614,1028,100547,0
153249,58571,6239,5075,6239,11429,5599,4357,0
349432,49947,9948,3461,3739,3681,499,92198,0
1036317,234657,38544,44881,19786,9281,12766,820105,0
325620,1550512,40832,508297,5906,202623,3485,1325118,0
6045,3731,5929,40885,5929,18338,10895,76074,1
216838,14901,1880,6845,1880,1435,2518,1053,0
1708501,107221,125052,128520,125052,11176,1981,1185,0
22833,44646,5204,22474,5204,14848,3340,14645,1
1677069,384630,85293,36965,10320,14000,3413,464701,0
229744,19552,5024,1029,5024,843,433,381,0
405667,31750,6663,4220,6663,5883,2730,69831,1
906006,41027,20614,12214,20614,3956,3884,148506,1
139916,30010,24886,15329,24886,10575,5070,646883,1
1858632,228646,34206,49319,34206,17825,10799,13524,1
318643,76906,41625,4341,41625,16161,4382,615778,1
52344,39383,16332,14095,16332,35658,21154,81863,0
149055,30501,3679,3343,3679,2611,2608,1981,1
31597,30609,17995,3713,3082,1866,1183,98290,0
318643,76906,41625,4341,41625,16161,4382,615778,1
537678,26433,687,1111,687,1313,995,59074,1
688893,886694,18822,21210,18822,17398,13396,8142,1
20324,23625,2983,4060,2983,4026,5006,22855,1
453638,61289,5323,3313,5323,2774,1775,1610,0
9433,25410,1432,5652,1432,7616,4239,700108,1
78829,219438,42684,19216,42684,12237,13108,580107,1
386818,124262,6508,17801,6508,7774,3540,194120,1
459124,113289,36557,50616,36557,26252,9272,61777,0
212329,4735,591,3325,591,1877,3109,387,0
